,hasType,eventName,date,latitude,longitude,hasLocation,hasSubtype,declarationOfCalamity,evacuationCenters,affectedBarangays,dead,injured,missing,affectedFamilies,affectedPersons,displacedFamilies,displacedPersons,totallyDamagedHouses,partiallyDamagedHouses,infraDamageAmount,agricultureDamageAmount,commercialDamageAmount,powerAffected,communicationAffected,roadAndBridgesAffected,seaportsAffected,airportsAffected,areDamsAffected,isTapAffected,allocatedFunds,agencyLGUsPresent,internationalOrgsPresent,amoungNGOs,itemCostGoods,itemQtyGoods,itemCostWater,itemQtyWater,itemCostClothing,itemQtyClothing,itemCostMedicine,itemQtyMedicine,itemCostOthers,reference,otherDescription,otherDescription,otherDescription,startDate,endDate
492,Road,Bus of Unilever Philippines,2002-10-03 09:00:00,,,"Brgy. Sapang Uno, Ternate, Cavite",,,,,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CY 2002 Natural and Made Incidents. OCD NDCC Reports.,The passengers of the bus were going to attend a Team Building Seminar. The accident occurred due to mechanical trouble.,,,2002-10-03,2002-10-03
493,Armed Conflict,"Grenade or Bomb Explosion at 50 Meters away from MSP Malagutay, Camp Arturo Enrile, Upper Calarian",2002-10-02 10:35:00,,,"Zamboanga City, Zamboanga del Sur",,,,,3,15,,,,,,,,,,,,,,,,,,,EOD-PNP/AFP,,,,,,,,,,,,CY 2002 Natural and Made Incidents. OCD NDCC Reports.,The bomb was placed near an Alta Honda Motorcycle parked beside Videoke Bar operated by Mr. Rodolfo Enriquez,,,2002-10-02,2002-10-02
494,Road,"Vehicular Accident at Marcos Highway, Taluy Sur,  Tuba, Benguet",2002-11-26 23:25:00,,,"Tuba, Benguet",,,,,2,52,,,,,,,,,,,,,,,,,,,"Regional Office PNP Benguet, Traffic Management Group, BB-PICAg, Emergency Medical Service Baguio, BBCG-Baguio, PMA Rescue Team, West Bayan Park Baguio, OCD, Volunteers of Taloy Tuba Benguet",,,,,,,,,,,,CY 2002 Natural and Made Incidents. OCD NDCC Reports.,Victory Bus from Baguio to Dagupan/ Plate Number CHK ___. Felll 25 to 30 meters deep. ,,,2002-11-26,2002-11-26
495,Industrial Accident (General),"Construction Incident in Calauag, Quezon",2002-11-26 10:30:00,,,"Brgy. Sta. Maria, Calauag, Quezon",,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CY 2002 Natural and Made Incidents. OCD NDCC Reports.,The workers were excavating in the swimming pool beside the wall which collapsed due to the loosening of the soil caused by the heavy downpour during the time of the incident.,,,2002-11-26,2002-11-26
496,Road,"Vehicular Accident along Quirino Highway, Tagkawayan, Quezon",2002-11-24 12:30:00,,,"Brgy. San Vicente, Tagkawayan, Quezon",,,,,33,,,,,,,,,,,,,,,,,,,,"MDCC of Tagkawayan (Incident Command Post), Tagkawayan Municipal Police Station, PCG Metro, BFP-NCR, Philippine Navy, DOH, MIAA, Las Pinas Rescue, PNP OCD-NCR, KABALIKAT, CIVICOM, DELTA Co.., 74th IB-PA, Governor of Masbate",,,,,,,,,,,,CY 2002 Natural and Made Incidents. OCD NDCC Reports.,Falcon Bus Liner from Manila to Bicol. Plate Number AVK 125 . Accident happened when the bus lost its brakes.,,,2002-11-24,2002-11-24
497,Infestation (General),Malayan Rice Black Bug Infestation in Region VIII,"November 22, 2002",,,Southern Leyte; Leyte,,,,126,,,,,,,,,,,Php 2.1 Million,,,,,,,,,,Department of Agriculture in Region VIII,,,,,,,,,,,,CY 2002 Natural and Made Incidents. OCD NDCC Reports.,"The said insect pest was first detected in Palawan in 1979. Zamboanga City in 1992, and Mindanao Island in 1998. December 2000, the insect pest first appeared in Brgy. Bugasong Libangon, Southern Leyte.",,,2002-11-22,2002-11-22
498,Water,"Capsized Bancas at Dilasag Bay, Dilasag, Aurora",2002-11-09 00:00:00,,,"Dilasag, Aurora",,,,,1,,5,,,,,,,,,,,,,,,,,,"Provincial Police of Aurora, Dilasag Fishermen Association at Dilasag Bay",,,,,,,,,,,,CY 2002 Natural and Made Incidents. OCD NDCC Reports.,The incident was caused by big waves due to bad weather conditions. 33 were rescued and survived,,,2002-11-09,2002-11-09
499,Air,Crash Landing of Laoag International Air Flight L-7-585 Vicinity of Manila Bay 1km away from Baclaran,"November 11, 2002",,,Paranaque City,,,,,18,,1,,,,,,,,,,,,,,,,,,"Coast Guard District NCR Central Luzon, CG Special Operations Group, BRP EDSA 2(SAR 002)",,,,,,,,,,,,CY 2002 Natural and Made Incidents. OCD NDCC Reports.,Air Pokker Plane. Took of in Manila Domestic Airport en route for Laoag City. Sunk 42-60 ft deep into the waters,,,2002-11-11,2002-11-11
500,Air,"Plane Crash in Sto. Tomas Batangas; Quality Control Room of IBIDEN Compound Philippine Industrial Corporation, ",2002-12-12 09:50:00,,,"Brgy. Sta. Anastacia, Sto. Tomas, Batangas",,,,,3,9,,,,,,,,Philippine Industrial Corporation (computer parts factory) - an involved structure in the incident,,,,,,,,,,,"Philippine Industrial Corpoation, Sto. Tomas, Tanauan, Lipa and Talisay fire-fighting security teams, Local PNP",,,,,,,,,,,,CY 2002 Natural and Made Incidents. OCD NDCC Reports.,"2-Seater Marchetti with tail no 711. The plane was from 15 Strike Wing, Sangley Point Cavite and crashed in the quality control room of IBIDEN Compound. The plane was conducing a training flight mission. Pilots: Lt. Ong, Lt. Francisco.1",,,2002-12-12,2002-12-12
501,Air,PAF N22 Nomad Plane Accident,2002-12-17 11:20:00,,,"Calarian, Zamboanga City, Zamboanga del Sur",,,,,,,,,,,,,,,,,,,,,,,,,Farmers  near the vicinity were the first to respond. ,,,,,,,,,,,,CY 2002 Natural and Made Incidents. OCD NDCC Reports.,"PAF Aircraft Nomad Plane Tail No. 53 from Cagayan de Tawi-Tawi, Sibuto and Sanga-Sanga experienced engne trouble and crashed in the west coast of Calarian, Zamboanga City. Injured passengers are transported in Southcorn Hospital.",From the Initial Report,,2002-12-17,2002-12-17
502,Tropical Cyclone,Typhoon Juan and Kaka,"July 25, 2002",,,Regions IV; VI; NCR,"Landslide (Wet), Tornado",,,45,14,2,,3692,19048,722 (Region VI and NCR),3449,302,804,Php 10 M,Php 2.124 M,,,,,,,,,,,,,,,,,,,,,,CY 2002 Natural and Made Incidents. OCD NDCC Reports.,"Emergency incidents were triggered by the said Tropical Depressions. 3  landslide incidents were reported which caused 3 deaths particularly in Brgy Sto. Cristo San Pablo City. A tornodo was also recorded in Catanauan, Quezon which caused 178 total and 400 partial damages to housing.",,,2002-07-25,2002-07-25
503,Chemical Spill,"Chemical Spill/ Leak at Mary Grace Subdiviision, Sta. Rosa Uno, Marilao, Bulacan ",2006-11-01 00:00:00,,,"Marilao, Bulacan ",,,2,5,,29,,210,1050,210,1050,,,,,,,,,,,,,,"Director Neri Amparo, OCD Region III, PDCC, OCD, BFP-SRU, EMB-DENR, DOH, HazMat, DOH, DENR-CO, NDCC OPCEN",,,,,,,,,,"2 Pedia, 2 Toxicologists, 2 Medical Doctors, 1 HEMS Coordinator, 300 pcs. of N95 face mask",,Oil/Chemical Spillage 2006. OCD NDCC Reports.,,"Evacuation Centers, Affected Population and Evacuated all come from the NDCC Medica Update  on November 27, 2006 as of 6:00PM",,2006-11-01,2006-11-01
504,Oil Spill,Mt. Solar I Oil Spillage 16 nautical miles west of Guimaras Province,2006-08-11 00:00:00,,,Guimaras,,,,29,,,2,7870,39004,,,,,,Php 1069185.00  damages to fishponds,,,,,,,,,"OCD-NDCC Php 52 Million Calamity Fund (Breakdown - PCG 2 M, UP Visayas 10 M, Guimaras, Iloilo and Negros Occidental 40M). BFAR- Php 1.58 M palay and vegetable seeds. ","NDCC, SMART Communication Philippines, OCD-NDCC, DSWD, PETRON Foundation, BFAR, DOH, DENR, PCG Western Visayas, Water-Borne Industry Spill Equipment, DOTC, UP Visayas, Siliman University, DA, DSWD, ","World Wildlfe Fund, Australia through UNICEF (7.3 Million), AUSAID ($50,000), German Develoment Service, IMO, UNEP-OCHA-UNOSAT, UNDP ($100,000), Japan, US, NOAA, France and Australian Government, Germany (1.6Million) ","PETRON - relief assistance Php 1.47 M, assistance Php 34,853,449. NGOs relief assistance with no costing Php 1.834 M",Php 935000,1100 sacks of rice,,,,,"Php  1, 154, 772",medicines from DOH,,Oil/Chemical Spillage 2006. OCD NDCC Reports.,"MT Solar I is owned by Sunshine Maritime Development Corporation (SMDC).  300-500 fathoms (1 fathom=6ft) - ship sunk at this height, spilled more than 200,000 L of oil.",,,2006-08-11,2006-08-11
505,Oil Spill,"Oil Spillage in Northeast of Semirara Island, Caluya, Antique",2005-12-18 00:00:00,,,"Brgy. Semirara, Caluya, Antique",,,,,,,,,,,,,,,,,,,,,,,,,"NDCC, NAPOCOR, PCG-OSRT,DENR-MGB, PCG, National Environmental Council",,,,50 sacks of rice,,,,,,,,Oil/Chemical Spillage 2006. OCD NDCC Reports.,,,,2005-12-18,2005-12-18
506,Oil Spill,Carmona Oil Spil,2001-06-21 00:00:00,,,Rizal,,,,,,,,,,,,,,,,,,,,,,,,,"Philippine Coast Guard, Pilipinas Shell Petroleum Corp, Southern Communicators Assitance Network, Laguna Lake Development Authority, DENR, MENRO",,,,,,,,,,,,Oil/Chemical Spillage 2006. OCD NDCC Reports.,Oil spill from ROHM Electronics. ,,,2001-06-21,2001-06-21
507,Tropical Cyclone,Typhoon Emang and Tropical Storm Gading,"September 15-20, 1998",,,Pangasinan; NCR;,Flood (General),,"330 (in Regions I, III, and NCR)",1873,108,22,10,335699,1749414,12333,63954,10900 (Region I and II),33343,Php 545B,"Php 3, 250B",,,,"In Manila, roads were announced to be impassable due to flooding which ranged from 1 to 5 feet, Wooden bridge in San Francisco, Pampanga also rendered impassable, Gapan-San Fernando Olongapo also impassable",,,"St. Ferdinand Tail Dikes in Sto. Tomas breached, estimated 6 meters in length, Earthdike in Sta. Catalina, Lubao breached eastimated 100 meters in length; Elevated water of Marikina-Pasig River",,"Php 10 Million for RDC I, Php 5 Million for RDCC III, Php 2M for PDCC Pampanga, Php 2M for RDCC 3 thru OCD, Php1.5M for Task Force Kaligtasan","SND, Jospeh Estrada, DWSD, First Lady, AFP Disaster Response Teams, NDCC Chairman, Governor of Pangasinan, OCD, DOH-STOP",,,Php 15.049 Million,"4000 sacks of rice, 1380 cases of canned goods, 5100 family packs, 400 cases of RTEF, NFA 68, 495 empty sacks, RDCC 3 DPWH 3 79,000 sacks",,,,,Php 1.140M,Assorted medical supplies,,"Final Report on the Effects of Typhoon Emang and Tropical Storm Gading. September 15-20, 1998. OCD NDCC Reports.","10AM as of September 16, 1998 Emang was estimated to be 890 kms East of Batanes. Maximum sustained winds of 55kph. Second low pressure 500kms west of Northern Luzon developed into TD Gading. TS Gading continued to gain strength as it moved towards Pangasinan. The induced southwest monsoon by both typhoons brought most of the rains in the country.",,,1998-09-15,1998-09-20
508,Water,MV Princess of the Orient Tragedy at Fortune Island,1998-09-18 00:00:00,,,"Nasugbu, Batangas",,,,,70,80,,,,,,,,,,,,,,,,,,,"AFP, PCG, PAF, PN, AFP-JOC, 11 medical teams from 11 hospitals in Metro Manila, DSWD, NDCC, DOTC, MARINA",,,,,,,,,,,,"Final Report on the Effects of Typhoon Emang and Tropical Storm Gading. September 15-20, 1998. OCD NDCC Reports.",The incident occurred at the height of Typhoon Emang and Gading.,,,1998-09-18,1998-09-18
509,Tropical Cyclone,Typhoon Iliang ,1998-10-14 00:00:00,,,CAR,Landslide (Wet): [Bakun Benguet],State of  Emergency - CAR,26,,59,53,3,23190,119001,493,3405,1257,7708,Php 731 B,Php 120B,Php 288B,,,,,,,,,"DSWD, DOH, AFP, PNP and other local implementing agencies",,,,,,,,,,,,"Final Report on the Effects of Typhoon Emang and Tropical Storm Gading. September 15-20, 1998. OCD NDCC Reports.",,,,1998-10-14,1998-10-14
510,Tropical Cyclone,Tropical Depression Crising ,"April 30-May 2, 2009",,,Region IV-A; V,,2 LPAs 30 kms west of Mindoro and 70kms southeast of Legaspi City ,6 (Region IV-A),22,2,,1,,,,,,,,,,,,Various road networks in Catanduanes including provincial road sections were reported as impassable,,,,,,"NDCC OPCEN, AFP, PCG, CDCC, OCD, DOH, DWSD, SWAD, MDCC Merida and Engineering District Office of DPWH, MSWD, 901st Brigade ", ,,,,,,,,,,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-04-30,2009-05-02
511,Tropical Cyclone,Typhoon Dante,"May 1-5, 2009",,,Albay; Catanduanes; Camarines Sur; Sorsogon,,"State of Calamity - Albay, Camarines Sur, Sorsogon",252,659,28,8,1,84213,418928,,,297,3460,Php 597122000,Php 625709467,,,,,,,,,,"NDCC, DWSD, DOH, LGU, NDCC",,,,4750 sacks of rice given by NDCC,,,,,Php 88665 for pedia and adulst in Region V,,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-05-01,2009-05-05
512,Tropical Cyclone,Typhoon Emong,"May 6-10, 2009",,,Pangasinan,,"State of Calamity - Ifugao, La Union, 1st District Municipalities of Pangasinan Anda, Bolinao, Alaminos, Infanta, Mabini, Bani, Sual, Agno, Dasol, Burgos",55,707,64,53,13,84280,400954,,,23482,32753,Php 413056443,Php 980212432,,,,"7 bridges were damaged in Binablayan, Tinoc, Ifugao, CAR",,,,,,"NDCC, DSWD, DPWH, RDCC, DepEd",,,"DSWD-Php 557199.36 food items, Php 851, 935.70 NFI, Php 585, 492.88 standby funds, Php 500,000 to Region I, and Php 300,000 to Region II, Php 917, 970 worth of relief supplies from DSWD National Relief Operations Center, DSWD Region I - Php 969,110, Region III- Php 21,912","1350 sacks of rice released by NDCC, 2601 family food packs by DSWD, 5000 packs of assorted DSWD Region I, 500 packs of assorted relief goods PDCC Pangasinan",,,,,"Php 51,088.90","medical supplies and medicines, 3 medical teams ",,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-05-06,2009-05-10
513,Tropical Cyclone ,Typhoon Feria,"June 23-26, 2009",,,"Boroncan, Eastern Samar","6 landslides, 5 storm surges, 4 tornadoes, 7 sea mishaps, 1 Severe Weather with hail stones, 3 flashflood/Flood (General), 1 dike breached",,,,17,12,4,30566,150491,,,,,149050000,69244330,,,"19 TLS were damaged in Districts 1 and 3 of Panay, 9 topples, 7 leaning, 3 broken, 1 detached insulator",14 road sections and 18 bridges were closed,,,,,,"NDCC, DPWH, DOH, NGCP, DSWD, PNP, NAVFORCEN, MDCC, AFP",,,Php 501875 ,550 sacks,,,,,,,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-06-23,2009-06-26
514,Tropical Cyclone,Tropical Depression Gorio,"July 9-10, 2009",,,Region I; CAR,Flood (General),"State of Calamity - Bacarra, Ilocos Norte ",,47,1,,,9740,42720,,,11,2,2700000,6165472.47,,,,,,,,,,"NFNL, PDCC EOC",,,,,,,,,,,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-07-09,2009-07-10
515,Tropical Cyclone,Typhoon Isang,"July 14-28, 2009",,,Region II; CAR; IV-A,"Enhanced the Southwest Monsoon, strong winds, high tide",,26,269,5,1,,56055,248057,1655,8193,,,25273808,13906962,,,,7 roads were closed in CAR and Region IV-A,,,,,,"OCD-NDCC, DOH, DSWD",,,"Php 456250, Php 1073322.59, Php 785865.37, Php 1998529.29, Php 3857717.25","500 sacks of rice, 5894 food packs, food commodities",,,,,Php 291900,,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-07-14,2009-07-28
516,Tropical Cyclone,Typhoon Jolina,"July 30-August 2, 2009",,,"Region IV-A, IV-B, X, BARMM","Flashflood, Landslide (Wet)",,45,298,13,10,2,54318,226823,2311,11689,125,320,187053800,114086605,,,,"Region I slope protections were damaged, 8 brgy road sections were damaged in Pagudpud. Region IV-B scoured, damaged, washed out bridges. Region X - Bridge approaching Cotabato-Lanao Road in Lanao Del Sur collapsed ",,,"damaged diversion dam, washed out old brass dam, Magat Dam draw down reservoir elevation to 190m",,,"OpCen, NDCC, RDCC, PDCC, OCDRC, AFP, COMEASTMINCOM, PAGASA, Coast Guard ",,,,,,,,,,,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-07-30,2009-08-02
517,Tropical Cyclone,Typhoon Kiko,"August 3-7, 2009",,,Luzon,"Landslide (Wet), Riverine Flood","State of Calamity - Zambales Province, Municipality of Botolan, 5 barangays in Capas : O-donnel, Sta. Lucia, Sta. Juliana, Bueno, and Manuglo, Municipality of Tubungan,, Iloilo",23,158,27,18,1,24332,122056,3216,13323,443,456,732249700,141197002.69,,,,"12 road sections in 12 municipalities and 6 road sections in Tarlac had eroded shoulders, potholes on asphalt pavement, washed-out gravel surface and cracks. In Nueva Ecija, Daang Maharalika Road was cut off due to massive occassional landslides,  concrete slope protection of raodway along Pantabangan-Canlili Basal- Baler Road collapsed. Zambales-box culvert of Olongapo-Bugallon road collapsed, steel bridge was constructed to span the gap from Sto. Nino Bridge in Cabangan, and a foot bridge was constructed for passengers",,,,,,"NDCC, DSWD-CO DOH, CDH-DOH CAR, PDCC, Baguio Water District",,,"1067247, 1586560.50 (from NROC to DSWD Field Office III), 1.5 Million standby funds for Region III, 3752566.12 standby funds DSWD Field Offices in Regions CAR, NCR, III","DSWD-CO assorted relief commodities, 1050 sacks of rice ",,1 unit of water pump,,,"27313.35, 132,193.00","CAR - drugs, medicines, and medical supplies, RIII- drugs, medicines, and jerry cans",,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-08-03,2009-08-07
518,Tropical Cyclone,Typhoon Labuyo,"September 2-5, 2009",,,Region III; VI; VIII,,,10,81,1,,,18960,95700,872,3776,11,,,,,,,,,,,,,"NDCC-OCD, MDCC, PAGASA, PDCC, PSWDO, MSWDO, NIA-Magat River Irrigation Integrated System, DSWD",,,,,,,,,,,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-09-02,2009-09-05
519,Tropical Cyclone ,Tropical Depression Maring,"September 8-9, 2009",,,Region III; IV-A; IV-B,"Landslide (Wet), Tornado, Water",,12,385,13,2,,87202,388373,1425,4994,3,20,68203714,236687714,,,,,,,,,,"NDCC, DSWD, QR/SWAD, DPWH, DA, NGCP, AFP, MDCC",,,4522171.5,"1350 sacks of rice, standy funds, family food packs, stockpile of relief commodities",,,,,,,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-09-08,2009-09-09
520,Tropical Cyclone,Tropical Depression Nando,"September 12-13, 2009",,,"Palanan, Isabela",,"LPA, Tropical Depression, Tropical Storm. Under state of calamity: Brgy. San Pablo Sur, Brgy. San Pablo Norte, and Brgy. Calios in Sta. Cruz Laguna",2,53,3,3,,13677,68022,28,135,1,3,,,,,,,,,,,,"NDCC-OPCEN, DPWH, SWAD Teams of PDCC, RDCC, MDCC, BDCC, CDDC, MSWO, DENR-MGB, BFP and PNP, Governnor Teresita Lazaro, Congressman Edgar S. San Luis, Senator Ramon Revilla",,,,"family packs, 22 cavans of rice, bamboos, and coconut lumber",,,,,,medicines,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-09-12,2009-09-13
521,Tropical Cyclone,Tropical Storm Egay,"June 13-18, 2003",,,Region I; II; IV; V; VIII; CAR,,,,143,12,3,2,9967,45400,484,2420,94,157,67758000,50123000,,,,,,,,,,"NDCC, DSWD, LGU",,1013210,640000,900 sacks of rice,,,,,,,,"Tropical Storm Egay June 13-18, 2003. OCD NDCC Reports",,,,2003-06-13,2003-06-18
522,Tropical Cyclone,Tropical Depression Violeta,2004-11-28 00:00:00,,,Region III; CAR; Region II,,,7,43,26,14,4,21151,99461,528,2369,337,821,39700020,209823496,,,,"Nueva Ecija-Aurora Road - not passable to all types of vehicles, Baler Caisguran Road - not passable to all types of vehicles, Dinadiawan-Madella Road - not passable to all types of vehicles, Claveria - not passable to all",,,,,,"NDCC, DSWD, DOH, NOLCOM, PNP, NFA Manila Rescue Team",,"209285 (LGU + NGO) for Dingalan, San Luis, Baler, San Leonardo",,"500 sacks of rice to Aurora, 71 sacks of relief goods to Baler, Aurora, 100 sakcs of rice from NFA Region 3, 1 fiber glass rubber boat, 1 6x6 truck, 1 vull truck",,,,"95 sacks of clothing Dingalan, 190 sacks of used clothing to Baler",500000,medicines,209285,"Typhoon Violeta November 24, 208. OCD NDCC Reports",,,,2004-11-28,2004-11-28
523,Tropical Cyclone,Typhoon Loleng,"October 15-25, 1995",,,Region V; VIII,"Landslide (Wet), Flood (General)",,3164,2667,303,751,29,910912,4582120,195425,806277,965810,307042,Php 2.226 B,Php 2.226 B,Php .773 B,"Region IV - Marinduque (Boac, Mogpog, Sta. Cruz) Quezon (Infanta) and Misamis Occidental (San Jose and Mamburao) had power interruptions. Aklan had no power supply. Northern Samar and Northern Leyte had no power.  ",Aurora province had interruptions with their service lines. Northern Samas had service interruption,"Region 1 Culvert at Brgy. Laoac Hector Mendoza Spillway. Region 2 collapsed bridges due to floods, portions of Maharlike Highway were closed, Villaflor, Sta. Fe and Nueva Vizcaya were impassable, Baculud bridge was impassable. Region 3 Roads were rendered impassable due to flood particularly Pampanga - San Fernando-Lubao, Angeles-Porac, Nueva Ecija Maharlika Highway in Castillano-SanLeonardo Maharlika Highway in Gapan Section, Bridges were also impassable due to overflow of rivers, Tarlac- Barangobong bridge in Panigue, Nueva Ecija - Bangerban bridge in Bongabon, Bato Ferry bridge in Laur and Gabaldon, Bangkerohan bridge in Palayan City. Region 4 Batangas, Laguna, Quezon, Occidental Mindoro and Cavite had impassable roads due to floods, bridge in Quezon  was also affected. Region V Antique  and Aklan bridges received damage. Region VIII Eastern Samar and Western Samar roads and bridges were impassable  ",,,"Region 1 Dike in San Carlos City washed out Brgy. Gelew, in Pangasinan Brgy Gualsec Malasique sustained a 1 meter crack. Region IV Marinduque Boac Flood Control dike in Boac river was washed out",,,"RDCC, DCC, DOC, OCD, PAGASA, DWSD, DOH, DSWD",,,,"121, 585 lbs of relief goods airlifted",,,,,,,,"Typhoon Loleng October 15-25, 1995. OCD NDCC Reports",,,,1995-10-15,1995-10-25
524,Tropical Cyclone,Typhoon Sendang,1999-11-07 00:00:00,,,Region V; VI; VIII,,,3,139,24,7,9,23110,54152,8353,20639,256,11092,220320 M,366089 M,,"Electric posts and electric meters were damaged, power interruptions in Northern Samar, Sorsorgon, Legaspi City estimated cost of damages amounted to 399000",,"double barrel RCPC washed out, RCPC Riprap washed out, Scouring of Slope Protection (half-lane), impassable roads due to landslide and flood waters ",,,partially damaged irrigation dams estimated cost of damages amounted to 500000,damages in some of the main pipelines,,"DPWH, MDCC, PDCC, OCD-NDCC",,,,"Region VIII 15 sacks of rice, 5 boxes of sardines, 9 boxes of 3 in 1 coffee, 10 loaves of bread, 1 box of purefoods cup Mami, fuel for vehicles to transport evacuees",,,,,172 000,,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-11-07,1999-11-07
525,Tropical Cyclone, Typhoon Rening,1999-10-15 00:00:00,,,Region III; NCR,,Typhoon Signal No. 1 Eastern Samar and Bicol Region ,,9,1,,,3290,5791,,,,,,,,,,"Angeles - Porac Mancatian Section considdered not passable to light vehicles due to flood, Bocaue - Lolomboy not passable due to flood, Concepcion - Magalang road in Brgy San Nicolas Balar, Concepcion considered not passable to light vehicles due to flood",,,,,,,,,,,,,,,,,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-10-15,1999-10-15
526,Tropical Cyclone ,Typhoon Pepang ,"October 11, 1999",,,Region I; II; CAR,,Cagayan Province under State of Calamity,,1296,18,22,3,84089,444770,,,2336,11091,"National - 122,693,020.00, School Buildings - 6, 080, 000.00, Local - 122, 693, 020.00, Electric Posts - 5,000,000,.00, Others - 1, 111, 900.00","Agriculture - 332, 385, 717.25, Fisheries - 8, 106, 260.00",,,,,,,,,,"Lingap Para sa Mahirap Foundation thru Congressman Rodolfo Aguinaldo, PDCC, DWSD, ABS-CBN Foundation, PNRC Cagayan",,,,"Region I - 50 cavans of rice. Region II - 4, 138 packs of relief goods (rice and assorted canned goods), 400 cavans of rice from NFA, DWSD II to  PDCC - 50 boxes of RTEF, 20 family packs, 50 sacks of rice, 5 cases of sardines, 5 cans of condensed milk, 10 cans nido milk, 50 kilos of refined sugar, ABS-CBN 1,000 packs of relief goods, PNRC Cagayan - 600 packs of relief goods",,,,,,,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-10-11,1999-10-11
527,Tropical Cyclone, Typhoon Neneng,"September 13, 1999",,,Region I; II; CAR,,"Public Storm Signal No. 1 Batanes Group of Islands, Ilocos Provinces, Pangasinan, La Union",,,15,2,,1163,6730,825,4577,52,112,,,,,,"CAR - Kabugao-Calanasan-Claveria Cagayan Road was closed due to traffic, Baguio-Benguet Kennon Road closed due to traffic because of huge slides, NCR - Marikina-Tumana Bridge not passable to all types of vehicles",,,,,,"MDCC, NGOs, ABS-CBN",,,"91, 965.00 worth of assorted relief goods from ABS-CBN","MDCC & NGOs -  Batingan - 2 cavans of rice, 1 box of noodles, 8 bags bread, 14 packs  assorted goods, 7 cavans rice.  Darangan - 2 boxes of noodles, 1 box of 11 tins sardines, 10 bags bread, 102 assorted goods, 42 packs powdered milk, medicines, 10 tins sardines, 94 packs of assorted goods, 3 cavans of rice, box of sardines, 38 cups of noodles, 100 packs biscuits, 1 box powdered milk, 2 packs of assorted goods, 5 sacks of rice, 100 cans of sardines, 1 box of noodles, 13 packs of assorted goods",,,,"6 sacks of used clothing, 3 blankets",,medicines,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-09-13,1999-09-13
528,Tropical Cyclone,Tropical Strom Luding,"August 18-21, 1999",,,CAR; I; II; III,,"Flood Advisories in Cagayan River, Guagua River Basin, and Agno River. NPC Dam Monitoring particularly in Ambuklao, Binga, and Angat. NDCC-OCD disseminated dam water level to OCD regional centers. RDCC activated Disaster Coordinating Council and Emergency Broadcast System with KBP. Class Suspension in elementary and secondary levels for Region II",22,211,10,23,1,7089,35222,3240,16978,34,373,Php 128.404 M,Php 29.432 M,,,,"Roads in Cagayan 1st ED were damaged particularly KM 544-546 along JGCCSM BPR with a road surface washed out, est. total cost of damages is Php 1.700M. In Isabela 1st ED, the Binatucan-Spillway-Aurora section was not passable to all types of vehicles and incurred total damages amounting to Php 5.000 M. Bridges in Quirino (Banuban, Nanagucan, Manabusao, Pigalan, Mazapit, Magapit incurred an estimated total cost of Php 2.900 M ",,,,,,,,,,,,,,,,,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-08-18,1999-08-21
529,Tropical Cyclone Ising ,Typhoon Ising ,"August 3, 1999",,,Region III,,,170,748,45,2,2,263324,1245917,7734,37015,31,163,"115.541 M (National), 154.034 (Provincial, Municipal, Barangay)",984..673 M,,,,Angeles and Porac road were not passable to light vehicles,,,,,Php 385000,"Provincial Government, Municipal Government, PNRC/NGOs and DSWD, PNP Task Force Kaligtasan, AFP NDRTF, BFP, NFA",,,,"50,000 pieaces of empty sacks to RDCC for sandbagging",,,,,"Php 289, 550",drugs and medicines from DOH,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-08-03,1999-08-03
